OBJECTID	NAMOBJ	REMARK	x	y
1718	Puskesmas Pembantu Desa Mekarbaru	Puskesmas/Puskesmas Pembantu	116.39493	0.771419999999978
1719	Puskesmas Muarawahau 2	Puskesmas/Puskesmas Pembantu	116.876975	1.06478600000003
1720	Puskesmas Pembantu Desa Margamulia	Puskesmas/Puskesmas Pembantu	116.920591143	1.08804920599999
1721	Puskesmas Pembantu Desa Sidomulyo	Puskesmas/Puskesmas Pembantu	116.939531	1.06106199999999
1722	Puskesmas Pembantu Desa Kongbengindah	Puskesmas/Puskesmas Pembantu	116.996959	1.05240099999997
1723	Puskesmas Pembantu Desa Sukamaju	Puskesmas/Puskesmas Pembantu	116.970441	1.08800500000001
1724	Puskesmas Pembantu Desa Longwehea	Puskesmas/Puskesmas Pembantu	116.854433843	1.03596948699999
1725	Puskesmas Muarawahau 1	Puskesmas/Puskesmas Pembantu	116.854554679	1.04354213800002
1726	Puskesmas Pembantu Desa Makmurjaya	Puskesmas/Puskesmas Pembantu	116.933577	1.115476
1727	Puskesmas Pembantu Desa Mugirahayu	Puskesmas/Puskesmas Pembantu	116.945327008	0.782645958999979
1728	Puskesmas Batuampar	Puskesmas/Puskesmas Pembantu	116.831056019	0.66930217700002
1729	Puskesmas Pembantu Desa Sumbersari	Puskesmas/Puskesmas Pembantu	116.714037778	0.576024082999993
1730	Puskesmas Pembantu Desa Sumberagung	Puskesmas/Puskesmas Pembantu	116.752939867	0.557098667999981
1731	Puskesmas Pembantu Desa Batubalai	Puskesmas/Puskesmas Pembantu	116.787469788	0.522058457000014
1732	Puskesmas Pembantu Desa Muktiutama	Puskesmas/Puskesmas Pembantu	116.706043957	0.588516471999981
1733	Puskesmas Longmesangat	Puskesmas/Puskesmas Pembantu	116.693713507	0.636108248000028
1734	Puskesmas Pembantu Desa Sikamakmur	Puskesmas/Puskesmas Pembantu	116.697391486	0.666336994999995
1735	Puskesmas Pembantu Desa Telaga	Puskesmas/Puskesmas Pembantu	116.828065189	0.652990908999982
1736	Puskesmas Pembantu Desa Mawaiindah	Puskesmas/Puskesmas Pembantu	116.864254978	0.571621573000016
1737	Puskesmas Telen	Puskesmas/Puskesmas Pembantu	116.862184396	0.886697732000016
1738	Puskesmas Pembantu Desa Longsegar	Puskesmas/Puskesmas Pembantu	116.823065048	0.795997074000013
1739	Puskesmas Pembantu Desa Diaqlay	Puskesmas/Puskesmas Pembantu	116.789532	1.06046099999998
1740	Puskesmas Pembantu Desa Benhes	Puskesmas/Puskesmas Pembantu	116.766382	1.07672400000001
1741	Puskesmas Pembantu Desa Manunggaljaya	Puskesmas/Puskesmas Pembantu	117.263536993	0.651676039999984
1742	Puskesmas Pembantu Desa Pulungsari	Puskesmas/Puskesmas Pembantu	117.299364014	0.631328970000027
1743	Puskesmas Pembantu Desa Tepianmakmur	Puskesmas/Puskesmas Pembantu	117.261141026	0.685093011999982
1744	Puskesmas Pembantu Desa Margomulyo	Puskesmas/Puskesmas Pembantu	117.296220968	0.618374990000007
1745	Puskesmas Rantaumakmur	Puskesmas/Puskesmas Pembantu	117.281713	0.576931000000002
1746	Puskesmas Tanjunglabu	Puskesmas/Puskesmas Pembantu	117.233137	0.617916999999977
1747	Puskesmas Rantaupulung	Puskesmas/Puskesmas Pembantu	117.30432	0.592006000000026
1748	Puskesmas Pembantu Desa Kebonagung	Puskesmas/Puskesmas Pembantu	117.28047	0.611549000000025
1749	Puskesmas Pembantu Desa Tepianbaru	Puskesmas/Puskesmas Pembantu	117.288654037	0.707330033000005
1750	Puskesmas Tepianbaru	Puskesmas/Puskesmas Pembantu	117.290095976	0.707847028999993
1751	Puskesmas Teluklinggs	Puskesmas/Puskesmas Pembantu	117.528007999	0.523430994000023
1752	Puskesmas Pembantu Kampung KaboJaya	Puskesmas/Puskesmas Pembantu	117.487335987	0.530966995000028
1753	Puskesmas Pembantu Desa Tepianlangsat	Puskesmas/Puskesmas Pembantu	117.450067028	0.771513031999973
1754	Puskesmas Swargabara	Puskesmas/Puskesmas Pembantu	117.514098985	0.540700983000022
1755	Puskesmas Pembantu Desa Tepianindah	Puskesmas/Puskesmas Pembantu	117.30754	0.670659999999998
1756	Puskesmas Pembantu Desa Tepianindah	Puskesmas/Puskesmas Pembantu	117.324126	0.708842000000004
1757	Puskesmas Sepaso	Puskesmas/Puskesmas Pembantu	117.584094	0.748423000000003
1758	Puskesmas Kaliorang	Puskesmas/Puskesmas Pembantu	117.835532	0.897472999999991
1759	Puskesmas Pembantu Dusun Kaliorang	Puskesmas/Puskesmas Pembantu	117.874113964	0.836368008000022
1760	Puskesmas Sandaran	Puskesmas/Puskesmas Pembantu	118.49492	0.834145999999976
1761	Puskesmas Pembantu Desa Susuk Dalam	Puskesmas/Puskesmas Pembantu	118.213822	0.912484000000006
1762	Puskesmas Pembantu Desa Susuk Luar	Puskesmas/Puskesmas Pembantu	118.202164	0.895711000000006
1763	Puskesmas Pembantu Desa Marukangan	Puskesmas/Puskesmas Pembantu	118.325283	0.864383999999973
1764	Puskesmas Pembantu Desa Sandaran	Puskesmas/Puskesmas Pembantu	118.868058	0.878661000000022
1765	Puskesmas Pembantu Desa Tanjungmangkalihat	Puskesmas/Puskesmas Pembantu	118.978818	1.00381299999998
1766	Puskesmas Pembantu Desa Tadoan	Puskesmas/Puskesmas Pembantu	118.547326	0.990176000000019
1767	Puskesmas Pembantu Desa Teluksumbang	Puskesmas/Puskesmas Pembantu	118.835444	1.05138899999997
1768	Puskesmas Biduk-Biduk	Puskesmas/Puskesmas Pembantu	118.745346	1.21829300000002
1769	Puskesmas Pembantu Labuan Kekambu	Puskesmas/Puskesmas Pembantu	118.689697	1.261054
1770	Puskesmas Pembantu Desa Tanjungperepat	Puskesmas/Puskesmas Pembantu	118.625742	1.31117399999999
1771	Puskesmas Pembantu Desa Ampenmedang	Puskesmas/Puskesmas Pembantu	118.47746	1.33845300000002
1772	Puskesmas Pembantu Desa Lobangkelatak	Puskesmas/Puskesmas Pembantu	118.450929	1.34830199999999
