kode_rumah_sakit,nama_rumah_sakit,jenis_rumah_sakit,alamat_rumah_sakit,kelurahan,kecamatan,kota_administrasi,kode_pos,nomor_telepon,nomor_fax,website,email,telepon_humas
3173073,Islam Jakarta,Rumah Sakit Umum,Jl. Cempaka Putih Tengah I / 1,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,10510,"021 42801567, 021 4250451",021 4206681,www.rsi.co.id,rsijpusat@rsi.co.id,"021 42801567, 021 4250451, Ext 428"
3173474,Pertamina Jaya,Rumah Sakit Umum,"Jl. Achmad Yani No. 2, By Pass",Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,,021 4211911,021 4211913,,Mailbis rspj@yahoo.com,
3173521,Tarakan,Rumah Sakit Umum Daerah,Jl. Kyai Caringin No. 7,Cideng,Gambir,Jakarta Pusat,10150,"021 3503003, 021 3508993",021 3503412,,rsd_tarakan@yahoo.co.id,021 3503003 ext. 325
3173656,Mitra Kemayoran,Rumah Sakit Umum,Jl. Landas Pacu Timur,Kebon Kosong,Kemayoran,Jakarta Pusat,,021 6545555,021 6545959,,"kemayoran@mitrakeluarga.com, mgrmedis.kmy@mitrakeluarga.com",
3173063,PGI Cikini,Rumah Sakit Umum,Jl. Raden Saleh No. 40 ,Cikini,Menteng,Jakarta Pusat,,021 38997777,021 31924663,,marketing@rscikini.com,
3174543,Abdi Waluyo,Rumah Sakit Umum,Jl. HOS Cokroaminoto No. 31 - 33,Gondangdia,Menteng,Jakarta Pusat,,021 3144989,021 31930866,,dr.migot@yahoo.co.id,
3173660,Menteng Mitra Afia,Rumah Sakit Umum,Jl. Kali Pasir  No. 9,Kebon Sirih,Menteng,Jakarta Pusat,10340,021 3154050,021 3146309,www.rsmentengmitraafia.com,info@rsmentengmitraafia.com,
3173040,Husada ,Rumah Sakit Umum,Jl. Raya Mangga Besar Raya 137 / 139,Mangga Dua Selatan,Sawah Besar,Jakarta Pusat,10730,"021 6260208, 021 6490090",021 6497494,www.husada.co.id,husada@husada.co.id,
3173014,Dr. Cipto Mangunkusumo,Rumah Sakit Umum Pusat Nasional,Jl. Diponegoro No. 71,Kenari,Senen,Jakarta Pusat,10430,"021 391830113, 021 3918301",021 3148991,www.rscm.co.id,info@rscm.co.id,"021 3914661, 021 3924268"
3173084,Moh. Ridwan Meuraksa,Rumah Sakit Umum,Jl. Kramat Raya No. 17 A,Kenari,Senen,Jakarta Pusat,,"021 3150535, 021 323094",021 3916888,,,
3173580,Kramat 128,Rumah Sakit Umum,Jl. Kramat Raya No. 128,Kramat,Senen,Jakarta Pusat,10430,"021 3909513, 021 3909514",021 3909125,www.rskramat128.com,info@rskramat128.com,
3173051,PK. Sint Carolus ,Rumah Sakit Umum,Jl. Salemba Raya No. 41,Paseban,Senen,Jakarta Pusat,,021 3904441,021 3103226,,humas_pksc.or.id,
3173010,Moh. Husni Thamrin Internasional Salemba,Rumah Sakit Umum,Jl. Salemba Tengah 26 - 28,Paseban,Senen,Jakarta Pusat,,"021 3904422 Ext.1900, 1919","021 3107816, 021 2305182",www.thamrinhospital.com,info@thamrinhospital.com,
3173025,Gatot Subroto,Rumah Sakit Umum Pusat Angkatan Darat,Jl. Dr. Abdul Rachman Saleh 24,Senen,Senen,Jakarta Pusat,,021 3441008,021 3440693,,rspadgatsu@pdpersi.co.id,
3173036,DR. Mintohardjo,Rumah Sakit Umum Angkatan Laut,Jl. Bendungan Hilir No. 17,Bendungan Hilir,Tanah Abang,Jakarta Pusat,10210,"021 5703081, 021 5703085",021 5711997,www.rsaldrmintohardjo.com,rsalmintohardjo@ymail.com,
3173441,Evasari,Rumah Sakit Ibu dan Anak,Jl. Rawamangun No. 47,Rawasari,Cempaka Putih,Jakarta Pusat,10570,"021 4202851, 021 4202854",021 4209725,www.rsiaevasari.com,info@rsiaevasari.com,
3173105,Budi Kemuliaan ,Rumah Sakit Bersalin,Jl. Budi Kemuliaan No. 25 ,Gambir,Gambir,Jakarta Pusat,,021 3842828,021 3501012,,rsbudi@indo.net.id,
3173612,Profesor Nizar ,Rumah Sakit Khusus THT,Jl. Kesehatan No. 9,Petojo Selatan,Gambir,Jakarta Pusat,10160,"021 3843596, 021 3503435",021 34834982,,,
3173496,Dharma Sakti,Rumah Sakit Khusus Gangguan Jiwa,Jl. Kaji No. 40,Petojo Utara,Gambir,Jakarta Pusat,10130,"021 63864375, 021 63865542",021 6327961,,,
3173510,Panti Raharja,Rumah Sakit Khusus THT dan Bedah,Jl. Sawo No. 58 - 60,Menteng,Gondangdia,Jakarta Pusat,,"021 3906914, 021 31926152",021 326503,,,
3173682,Berkat Ibu,Rumah Sakit Ibu dan Anak,Jl. Sumur Batu Raya Blok A3 No. 13,Sumur Batu,Kemayoran,Jakarta Pusat,,"021 4209007, 021 4252671",021 42800964,,,
3173116,YPK Mandiri,Rumah Sakit Bersalin,Jl. Gereja Theresia No. 22,Gondangdia,Menteng,Jakarta Pusat,,021 3909725,021 3909806,,,
3173120,Bunda Jakarta,Rumah Sakit Ibu dan Anak,Jl. Teuku Cik Ditiro No. 28,Gondangdia,Menteng,Jakarta Pusat,,021 3909692,021 3101077,,,
3173634,Bina Estetika,Rumah Sakit Khusus Bedah Plastik,Jl. Teuku Cik Ditiro No. 41,Menteng,Menteng,Jakarta Pusat,,021 3909393,021 3155258,,,
